brand,name,type,flavor,efficacies,caffeine,price
알디프,밤의 차,블랜딩 티,"달콤, 구수","기분전환, 안정및숙면",X,1600
알디프,낮의 차,블랜딩 티,"과일, 꽃, 달콤",기분전환,X,1600
알디프,올드블랙매직,블랜딩 티,달콤,기분전환,O,1600
알디프,비포 선셋,블랜딩 티,달콤,"기분전환, 건강",X,1600
알디프,무드포러브,블랜딩 티,과일,기분전환,O,1600
알디프,나랑 갈래,블랜딩 티,"과일, 꽃",기분전환,X,1600
알디프,벨벳 골드 라운드,블랜딩 티,달콤,"기분전환, 안정및숙면",O,1600
알디프,밀키 애프터이미지,블랜딩 티,달콤,추운날,O,1600
티퍼런스,코코 퍼플티,"블랜딩 티, 홍차","과일, 달콤",안정및숙면,O,1800
티퍼런스,베리 퍼플티,"블랜딩 티, 홍차",과일,다이어트및피부관리,O,1800
티퍼런스,에이비씨 퍼플티,"블랜딩 티, 홍차",상큼,안정및숙면,O,1800
티퍼런스,오트 펌킨 퍼플티,"블랜딩 티, 홍차",구수,다이어트및피부관리,O,1800
티퍼런스,민트 퍼플티,"블랜딩 티, 홍차",매운/민트,소화,O,1800
달차 컴퍼니,생각에 잠기다,허브차,허브,안정및숙면,X,825
꽃물,코지화이트,"블렌딩 티, 꽃차",매운/민트,기분전환,X,1300
꽃물,치얼업레드,"블렌딩 티, 꽃차",구수,추운날,X,1300
꽃물,미스틱 퍼플,"블렌딩 티, 꽃차","허브, 과일, 달콤","기분전환, 다이어트및피부관리",X,1300
취다선,선옥죽,전통차,고소,건강,X,1875
취다선,우빈,녹차,고소,소화,O,1875
취다선,홍련,홍차,꽃,건강,O,1875
티즌,해열 쿨쿨 유자티,블렌딩 티,시트러스,추운날,x,1990
티즌,허그미 애플티,블렌딩 티,"달콤, 고소","건강, 소화, 추운날",X,1990
작심랩,콤부차(자몽맛),모험,"시트러스, 과일","건강, 다이어트및피부관리, 소화",O,794
작심랩,콤부차(레몬맛),모험,시트러스,"건강, 다이어트및피부관리, 소화",O,794
작심랩,콤부차(블루베리맛),모험,"달콤, 시트러스, 과일","건강, 다이어트및피부관리, 소화",O,794
작심랩,콤부차(복숭아맛),모험,"시트러스, 달콤, 과일","건강, 다이어트및피부관리, 소화",O,794
